ID	Label	PrefLabel	Synonyms	Exemplar	Classification	Comment	part of	part evidence comment	part evidence pub	part evidence dbxref	location	location evidence comment	location evidence pub	location evidence dbxref	has soma location	soma location evidence comment	soma location evidence pub	soma location evidence dbxref	cell morphology phenotype
ID	LABEL	A skos:prefLabel	A oboInOwl:has_exact_synonym	EC CL:0000003 and 'has_exemplar' value %	SC %	A rdfs:comment	SC 'part of' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	SC 'located in' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	SC 'has soma location' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	SC 'bearer of' some %
http://brain_data_standards/scratch_da1d3bba-12c2-11eb-8055-acde48001122	All cells			AllenDend:CS201908210_76															
http://brain_data_standards/scratch_da1d3d7c-12c2-11eb-8055-acde48001122	MTG 001-069	Neuronal		AllenDend:CS201908210_77															
#http://brain_data_standards/scratch_da1d3e58-12c2-11eb-8055-acde48001122	MTG 001-045	Inhibitory		AllenDend:CS201908210_78
http://brain_data_standards/scratch_da1d3f16-12c2-11eb-8055-acde48001122	MTG 001-027	ADARB2 (CGE)		AllenDend:CS201908210_79															
http://brain_data_standards/scratch_da1d3fb6-12c2-11eb-8055-acde48001122	MTG 001-006	LAMP5/PAX6		AllenDend:CS201908210_80															
http://brain_data_standards/scratch_da1d4060-12c2-11eb-8055-acde48001122	MTG 001-002			AllenDend:CS201908210_81															
http://brain_data_standards/scratch_da1d4100-12c2-11eb-8055-acde48001122	MTG 001	Inh L1-2 PAX6 CDH12		AllenDend:CS201908210_1															
http://brain_data_standards/scratch_da1d41aa-12c2-11eb-8055-acde48001122	MTG 002	Inh L1-2 PAX6 TNFAIP8L3		AllenDend:CS201908210_2															
http://brain_data_standards/scratch_da1d424a-12c2-11eb-8055-acde48001122	MTG 003-006			AllenDend:CS201908210_82															
http://brain_data_standards/scratch_da1d42ea-12c2-11eb-8055-acde48001122	MTG 003	Inh L1 LAMP5 NMBR		AllenDend:CS201908210_3															
http://brain_data_standards/scratch_da1d438a-12c2-11eb-8055-acde48001122	MTG 004-006			AllenDend:CS201908210_83															
http://brain_data_standards/scratch_da1d442a-12c2-11eb-8055-acde48001122	MTG 004-005			AllenDend:CS201908210_84															
http://brain_data_standards/scratch_da1d44ca-12c2-11eb-8055-acde48001122	MTG 004	Inh L1-4 LAMP5 LCP2		AllenDend:CS201908210_4															
http://brain_data_standards/scratch_da1d456a-12c2-11eb-8055-acde48001122	MTG 005	Inh L1-2 LAMP5 DBP		AllenDend:CS201908210_5															
http://brain_data_standards/scratch_da1d4614-12c2-11eb-8055-acde48001122	MTG 006	Inh L2-6 LAMP5 CA1		AllenDend:CS201908210_6															
http://brain_data_standards/scratch_da1d46b4-12c2-11eb-8055-acde48001122	MTG 007-027	VIP		AllenDend:CS201908210_85															
http://brain_data_standards/scratch_da1d4754-12c2-11eb-8055-acde48001122	MTG 007-014			AllenDend:CS201908210_86															
http://brain_data_standards/scratch_da1d47f4-12c2-11eb-8055-acde48001122	MTG 007-012			AllenDend:CS201908210_87															
http://brain_data_standards/scratch_da1d4894-12c2-11eb-8055-acde48001122	MTG 007-009			AllenDend:CS201908210_88															
http://brain_data_standards/scratch_da1d492a-12c2-11eb-8055-acde48001122	MTG 007-008			AllenDend:CS201908210_89															
http://brain_data_standards/scratch_da1d49ca-12c2-11eb-8055-acde48001122	MTG 007	Inh L1 SST CHRNA4		AllenDend:CS201908210_7															
http://brain_data_standards/scratch_da1d4a6a-12c2-11eb-8055-acde48001122	MTG 008	Inh L1-2 ADARB2 MC4R		AllenDend:CS201908210_8															
http://brain_data_standards/scratch_da1d4b00-12c2-11eb-8055-acde48001122	MTG 009	Inh L1-2 SST BAGE2		AllenDend:CS201908210_9															
http://brain_data_standards/scratch_da1d4ba0-12c2-11eb-8055-acde48001122	MTG 010-012			AllenDend:CS201908210_90															
http://brain_data_standards/scratch_da1d4c40-12c2-11eb-8055-acde48001122	MTG 010	Inh L1-3 VIP SYT6		AllenDend:CS201908210_10															
http://brain_data_standards/scratch_da1d4d44-12c2-11eb-8055-acde48001122	MTG 011-012			AllenDend:CS201908210_91															
http://brain_data_standards/scratch_da1d4de4-12c2-11eb-8055-acde48001122	MTG 011	Inh L1-2 VIP TSPAN12		AllenDend:CS201908210_11															
http://brain_data_standards/scratch_da1d4e7a-12c2-11eb-8055-acde48001122	MTG 012	Inh L1-4 VIP CHRNA6		AllenDend:CS201908210_12															
http://brain_data_standards/scratch_da1d4f10-12c2-11eb-8055-acde48001122	MTG 013-014			AllenDend:CS201908210_92															
http://brain_data_standards/scratch_da1d4f9c-12c2-11eb-8055-acde48001122	MTG 013	Inh L1-3 VIP ADAMTSL1		AllenDend:CS201908210_13															
http://brain_data_standards/scratch_da1d5028-12c2-11eb-8055-acde48001122	MTG 014	Inh L1-4 VIP PENK		AllenDend:CS201908210_14															
http://brain_data_standards/scratch_da1d50f0-12c2-11eb-8055-acde48001122	MTG 015-027			AllenDend:CS201908210_93															
http://brain_data_standards/scratch_da1d5262-12c2-11eb-8055-acde48001122	MTG 015-019			AllenDend:CS201908210_94															
http://brain_data_standards/scratch_da1d5352-12c2-11eb-8055-acde48001122	MTG 015-017			AllenDend:CS201908210_95															
http://brain_data_standards/scratch_da1d53f2-12c2-11eb-8055-acde48001122	MTG 015-016			AllenDend:CS201908210_96															
http://brain_data_standards/scratch_da1d547e-12c2-11eb-8055-acde48001122	MTG 015	Inh L2-6 VIP QPCT		AllenDend:CS201908210_15															
http://brain_data_standards/scratch_da1d5514-12c2-11eb-8055-acde48001122	MTG 016	Inh L3-6 VIP HS3ST3A1		AllenDend:CS201908210_16															
http://brain_data_standards/scratch_da1d55a0-12c2-11eb-8055-acde48001122	MTG 017	Inh L1-2 VIP PCDH20		AllenDend:CS201908210_17															
http://brain_data_standards/scratch_da1d562c-12c2-11eb-8055-acde48001122	MTG 018-019			AllenDend:CS201908210_97															
http://brain_data_standards/scratch_da1d56b8-12c2-11eb-8055-acde48001122	MTG 018	Inh L2-5 VIP SERPINF1		AllenDend:CS201908210_18															
http://brain_data_standards/scratch_da1d5744-12c2-11eb-8055-acde48001122	MTG 019	Inh L2-5 VIP TYR		AllenDend:CS201908210_19															
http://brain_data_standards/scratch_da1d57d0-12c2-11eb-8055-acde48001122	MTG 020-027			AllenDend:CS201908210_98															
http://brain_data_standards/scratch_da1d585c-12c2-11eb-8055-acde48001122	MTG 020-023			AllenDend:CS201908210_99															
http://brain_data_standards/scratch_da1d58e8-12c2-11eb-8055-acde48001122	MTG 020-022			AllenDend:CS201908210_100															
http://brain_data_standards/scratch_da1d5974-12c2-11eb-8055-acde48001122	MTG 020-021			AllenDend:CS201908210_101															
http://brain_data_standards/scratch_da1d5a00-12c2-11eb-8055-acde48001122	MTG 020	Inh L1-3 VIP CHRM2		AllenDend:CS201908210_20															
http://brain_data_standards/scratch_da1d5a82-12c2-11eb-8055-acde48001122	MTG 021	Inh L2-4 VIP CBLN1		AllenDend:CS201908210_21															
http://brain_data_standards/scratch_da1d5b18-12c2-11eb-8055-acde48001122	MTG 022	Inh L1-3 VIP CCDC184		AllenDend:CS201908210_22															
http://brain_data_standards/scratch_da1d5b9a-12c2-11eb-8055-acde48001122	MTG 023	Inh L1-3 VIP GGH		AllenDend:CS201908210_23															
http://brain_data_standards/scratch_da1d5c26-12c2-11eb-8055-acde48001122	MTG 024-027			AllenDend:CS201908210_102															
http://brain_data_standards/scratch_da1d5cb2-12c2-11eb-8055-acde48001122	MTG 024-025			AllenDend:CS201908210_103															
http://brain_data_standards/scratch_da1d5d3e-12c2-11eb-8055-acde48001122	MTG 024	Inh L1-2 VIP LBH		AllenDend:CS201908210_24															
http://brain_data_standards/scratch_da1d5dc0-12c2-11eb-8055-acde48001122	MTG 025	Inh L2-3 VIP CASC6		AllenDend:CS201908210_25															
http://brain_data_standards/scratch_da1d5e4c-12c2-11eb-8055-acde48001122	MTG 026-027			AllenDend:CS201908210_104															
http://brain_data_standards/scratch_da1d5ed8-12c2-11eb-8055-acde48001122	MTG 026	Inh L2-4 VIP SPAG17		AllenDend:CS201908210_26															
http://brain_data_standards/scratch_da1d5f64-12c2-11eb-8055-acde48001122	MTG 027	Inh L1-4 VIP OPRM1		AllenDend:CS201908210_27															
http://brain_data_standards/scratch_da1d5fe6-12c2-11eb-8055-acde48001122	MTG 028-045	LHX6 (MGE)		AllenDend:CS201908210_105															
http://brain_data_standards/scratch_da1d6072-12c2-11eb-8055-acde48001122	MTG 028-044			AllenDend:CS201908210_106															
http://brain_data_standards/scratch_da1d60f4-12c2-11eb-8055-acde48001122	MTG 028	Inh L3-6 SST NPY		AllenDend:CS201908210_28															
http://brain_data_standards/scratch_da1d6180-12c2-11eb-8055-acde48001122	MTG 029-044			AllenDend:CS201908210_107															
http://brain_data_standards/scratch_da1d620c-12c2-11eb-8055-acde48001122	MTG 029-038	SST		AllenDend:CS201908210_108															
http://brain_data_standards/scratch_da1d6298-12c2-11eb-8055-acde48001122	MTG 029-037			AllenDend:CS201908210_109															
http://brain_data_standards/scratch_da1d631a-12c2-11eb-8055-acde48001122	MTG 029-034			AllenDend:CS201908210_110															
http://brain_data_standards/scratch_da1d63a6-12c2-11eb-8055-acde48001122	MTG 029	Inh L3-6 SST HPGD		AllenDend:CS201908210_29															
http://brain_data_standards/scratch_da1d6432-12c2-11eb-8055-acde48001122	MTG 030-034			AllenDend:CS201908210_111															
http://brain_data_standards/scratch_da1d64be-12c2-11eb-8055-acde48001122	MTG 030-033			AllenDend:CS201908210_112															
http://brain_data_standards/scratch_da1d6554-12c2-11eb-8055-acde48001122	MTG 030-031			AllenDend:CS201908210_113															
http://brain_data_standards/scratch_da1d65ea-12c2-11eb-8055-acde48001122	MTG 030	Inh L4-6 SST B3GAT2		AllenDend:CS201908210_30															
http://brain_data_standards/scratch_da1d6676-12c2-11eb-8055-acde48001122	MTG 031	Inh L5-6 SST KLHDC8A		AllenDend:CS201908210_31															
http://brain_data_standards/scratch_da1d670c-12c2-11eb-8055-acde48001122	MTG 032-033			AllenDend:CS201908210_114															
http://brain_data_standards/scratch_da1d6798-12c2-11eb-8055-acde48001122	MTG 032	Inh L5-6 SST NPM1P10		AllenDend:CS201908210_32															
http://brain_data_standards/scratch_da1d681a-12c2-11eb-8055-acde48001122	MTG 033	Inh L4-6 SST GXYLT2		AllenDend:CS201908210_33															
http://brain_data_standards/scratch_da1d68b0-12c2-11eb-8055-acde48001122	MTG 034	Inh L4-5 SST STK32A		AllenDend:CS201908210_34															
http://brain_data_standards/scratch_da1d693c-12c2-11eb-8055-acde48001122	MTG 035-037			AllenDend:CS201908210_115															
http://brain_data_standards/scratch_da1d69d2-12c2-11eb-8055-acde48001122	MTG 035-036			AllenDend:CS201908210_116															
http://brain_data_standards/scratch_da1d6a5e-12c2-11eb-8055-acde48001122	MTG 035	Inh L1-3 SST CALB1		AllenDend:CS201908210_35															
http://brain_data_standards/scratch_da1d6aea-12c2-11eb-8055-acde48001122	MTG 036	Inh L3-5 SST ADGRG6		AllenDend:CS201908210_36															
http://brain_data_standards/scratch_da1d6b80-12c2-11eb-8055-acde48001122	MTG 037	Inh L2-4 SST FRZB		AllenDend:CS201908210_37															
http://brain_data_standards/scratch_da1d6c0c-12c2-11eb-8055-acde48001122	MTG 038	Inh L5-6 SST TH		AllenDend:CS201908210_38															
http://brain_data_standards/scratch_da1d6c98-12c2-11eb-8055-acde48001122	MTG 039-044	PVALB		AllenDend:CS201908210_117															
http://brain_data_standards/scratch_da1d6d1a-12c2-11eb-8055-acde48001122	MTG 039	Inh L5-6 LHX6 GLP1R		AllenDend:CS201908210_39															
http://brain_data_standards/scratch_da1d6da6-12c2-11eb-8055-acde48001122	MTG 040-044			AllenDend:CS201908210_118															
http://brain_data_standards/scratch_da1d6e32-12c2-11eb-8055-acde48001122	MTG 040	Inh L5-6 PVALB LGR5		AllenDend:CS201908210_40															
http://brain_data_standards/scratch_da1d6ebe-12c2-11eb-8055-acde48001122	MTG 041-044			AllenDend:CS201908210_119															
http://brain_data_standards/scratch_da1d6f4a-12c2-11eb-8055-acde48001122	MTG 041-043			AllenDend:CS201908210_120															
http://brain_data_standards/scratch_da1d6fd6-12c2-11eb-8055-acde48001122	MTG 041	Inh L4-5 PVALB MEPE		AllenDend:CS201908210_41															
http://brain_data_standards/scratch_da1d7062-12c2-11eb-8055-acde48001122	MTG 042-043			AllenDend:CS201908210_121															
http://brain_data_standards/scratch_da1d70ee-12c2-11eb-8055-acde48001122	MTG 042	Inh L2-4 PVALB WFDC2		AllenDend:CS201908210_42															
http://brain_data_standards/scratch_da1d717a-12c2-11eb-8055-acde48001122	MTG 043	Inh L4-6 PVALB SULF1		AllenDend:CS201908210_43															
http://brain_data_standards/scratch_da1d7206-12c2-11eb-8055-acde48001122	MTG 044	Inh L5-6 SST MIR548F2		AllenDend:CS201908210_44															
http://brain_data_standards/scratch_da1d729c-12c2-11eb-8055-acde48001122	MTG 045	Inh L2-5 PVALB SCUBE3		AllenDend:CS201908210_45															
http://brain_data_standards/scratch_da1d7328-12c2-11eb-8055-acde48001122	MTG 046-069	Excitatory		AllenDend:CS201908210_122															
http://brain_data_standards/scratch_da1d73b4-12c2-11eb-8055-acde48001122	MTG 046-063			AllenDend:CS201908210_123															
http://brain_data_standards/scratch_da1d7440-12c2-11eb-8055-acde48001122	MTG 046-060			AllenDend:CS201908210_124															
http://brain_data_standards/scratch_da1d74cc-12c2-11eb-8055-acde48001122	MTG 046-059			AllenDend:CS201908210_125															
http://brain_data_standards/scratch_da1d7558-12c2-11eb-8055-acde48001122	MTG 046-049			AllenDend:CS201908210_126															
http://brain_data_standards/scratch_da1d75e4-12c2-11eb-8055-acde48001122	MTG 046-048	L2/3		AllenDend:CS201908210_127															
http://brain_data_standards/scratch_da1d7670-12c2-11eb-8055-acde48001122	MTG 046-047			AllenDend:CS201908210_128															
http://brain_data_standards/scratch_da1d76fc-12c2-11eb-8055-acde48001122	MTG 046	Exc L2 LAMP5 LTK		AllenDend:CS201908210_46															
http://brain_data_standards/scratch_da1d7788-12c2-11eb-8055-acde48001122	MTG 047	Exc L2-4 LINC00507 GLP2R		AllenDend:CS201908210_47															
http://brain_data_standards/scratch_da1d7814-12c2-11eb-8055-acde48001122	MTG 048	Exc L2-3 LINC00507 FREM3		AllenDend:CS201908210_48															
http://brain_data_standards/scratch_da1d78a0-12c2-11eb-8055-acde48001122	MTG 049	Exc L5-6 THEMIS C1QL3		AllenDend:CS201908210_49															
http://brain_data_standards/scratch_da1d792c-12c2-11eb-8055-acde48001122	MTG 050-059	RORB		AllenDend:CS201908210_129															
http://brain_data_standards/scratch_da1d79ae-12c2-11eb-8055-acde48001122	MTG 050-054	L4		AllenDend:CS201908210_130															
http://brain_data_standards/scratch_da1d7a44-12c2-11eb-8055-acde48001122	MTG 050	Exc L3-4 RORB CARM1P1		AllenDend:CS201908210_50															
http://brain_data_standards/scratch_da1d7ad0-12c2-11eb-8055-acde48001122	MTG 051-054			AllenDend:CS201908210_131															
http://brain_data_standards/scratch_da1d7b5c-12c2-11eb-8055-acde48001122	MTG 051	Exc L3-5 RORB ESR1		AllenDend:CS201908210_51															
http://brain_data_standards/scratch_da1d7be8-12c2-11eb-8055-acde48001122	MTG 052-054			AllenDend:CS201908210_132															
http://brain_data_standards/scratch_da1d7c88-12c2-11eb-8055-acde48001122	MTG 052	Exc L3-5 RORB COL22A1		AllenDend:CS201908210_52															
http://brain_data_standards/scratch_da1d7d14-12c2-11eb-8055-acde48001122	MTG 053-054			AllenDend:CS201908210_133															
http://brain_data_standards/scratch_da1d7da0-12c2-11eb-8055-acde48001122	MTG 053	Exc L3-5 RORB FILIP1L		AllenDend:CS201908210_53															
http://brain_data_standards/scratch_da1d7e2c-12c2-11eb-8055-acde48001122	MTG 054	Exc L3-5 RORB TWIST2		AllenDend:CS201908210_54															
http://brain_data_standards/scratch_da1d7ec2-12c2-11eb-8055-acde48001122	MTG 055-059			AllenDend:CS201908210_134															
http://brain_data_standards/scratch_da1d7f4e-12c2-11eb-8055-acde48001122	MTG 055-057			AllenDend:CS201908210_135															
http://brain_data_standards/scratch_da1d7fda-12c2-11eb-8055-acde48001122	MTG 055	Exc L4-5 RORB FOLH1B		AllenDend:CS201908210_55															
http://brain_data_standards/scratch_da1d805c-12c2-11eb-8055-acde48001122	MTG 056-057			AllenDend:CS201908210_136															
http://brain_data_standards/scratch_da1d80f2-12c2-11eb-8055-acde48001122	MTG 056	Exc L4-6 RORB SEMA3E		AllenDend:CS201908210_56															
http://brain_data_standards/scratch_da1d817e-12c2-11eb-8055-acde48001122	MTG 057	Exc L4-5 RORB DAPK2		AllenDend:CS201908210_57															
http://brain_data_standards/scratch_da1d820a-12c2-11eb-8055-acde48001122	MTG 058-059			AllenDend:CS201908210_137															
http://brain_data_standards/scratch_da1d82be-12c2-11eb-8055-acde48001122	MTG 058	Exc L5-6 RORB TTC12		AllenDend:CS201908210_58															
http://brain_data_standards/scratch_da1d834a-12c2-11eb-8055-acde48001122	MTG 059	Exc L4-6 RORB C1R		AllenDend:CS201908210_59															
http://brain_data_standards/scratch_da1d83d6-12c2-11eb-8055-acde48001122	MTG 060	Exc L4-5 FEZF2 SCN4B		AllenDend:CS201908210_60															
http://brain_data_standards/scratch_da1d8462-12c2-11eb-8055-acde48001122	MTG 061-063	L6		AllenDend:CS201908210_138															
http://brain_data_standards/scratch_da1d84ee-12c2-11eb-8055-acde48001122	MTG 061	Exc L5-6 THEMIS DCSTAMP		AllenDend:CS201908210_61															
http://brain_data_standards/scratch_da1d8584-12c2-11eb-8055-acde48001122	MTG 062-063			AllenDend:CS201908210_139															
http://brain_data_standards/scratch_da1d8610-12c2-11eb-8055-acde48001122	MTG 062	Exc L5-6 THEMIS CRABP1		AllenDend:CS201908210_62															
http://brain_data_standards/scratch_da1d86a6-12c2-11eb-8055-acde48001122	MTG 063	Exc L5-6 THEMIS FGF10		AllenDend:CS201908210_63															
http://brain_data_standards/scratch_da1d873c-12c2-11eb-8055-acde48001122	MTG 064-069	FEZF2		AllenDend:CS201908210_140															
http://brain_data_standards/scratch_da1d87d2-12c2-11eb-8055-acde48001122	MTG 064	Exc L4-6 FEZF2 IL26		AllenDend:CS201908210_64															
http://brain_data_standards/scratch_da1d8872-12c2-11eb-8055-acde48001122	MTG 065-069	L6		AllenDend:CS201908210_141															
http://brain_data_standards/scratch_da1d891c-12c2-11eb-8055-acde48001122	MTG 065	Exc L5-6 FEZF2 ABO		AllenDend:CS201908210_65															
http://brain_data_standards/scratch_da1d89bc-12c2-11eb-8055-acde48001122	MTG 066-069			AllenDend:CS201908210_142															
http://brain_data_standards/scratch_da1d8a52-12c2-11eb-8055-acde48001122	MTG 066-068			AllenDend:CS201908210_143															
http://brain_data_standards/scratch_da1d8ade-12c2-11eb-8055-acde48001122	MTG 066-067			AllenDend:CS201908210_144															
http://brain_data_standards/scratch_da1d8b6a-12c2-11eb-8055-acde48001122	MTG 066	Exc L6 FEZF2 SCUBE1		AllenDend:CS201908210_66															
http://brain_data_standards/scratch_da1d8c00-12c2-11eb-8055-acde48001122	MTG 067	Exc L5-6 FEZF2 IL15		AllenDend:CS201908210_67															
http://brain_data_standards/scratch_da1d8c96-12c2-11eb-8055-acde48001122	MTG 068	Exc L6 FEZF2 OR2T8		AllenDend:CS201908210_68															
http://brain_data_standards/scratch_da1d8d22-12c2-11eb-8055-acde48001122	MTG 069	Exc L5-6 FEZF2 EFTUD1P1		AllenDend:CS201908210_69															
http://brain_data_standards/scratch_da1d8dc2-12c2-11eb-8055-acde48001122	MTG 070-075	Non-neuronal		AllenDend:CS201908210_145															
http://brain_data_standards/scratch_da1d8e58-12c2-11eb-8055-acde48001122	MTG 070-074			AllenDend:CS201908210_146															
http://brain_data_standards/scratch_da1d8ee4-12c2-11eb-8055-acde48001122	MTG 070-073			AllenDend:CS201908210_147															
http://brain_data_standards/scratch_da1d8f7a-12c2-11eb-8055-acde48001122	MTG 070-072			AllenDend:CS201908210_148															
http://brain_data_standards/scratch_da1d9006-12c2-11eb-8055-acde48001122	MTG 070	OPC L1-6 PDGFRA		AllenDend:CS201908210_70															
http://brain_data_standards/scratch_da1d9092-12c2-11eb-8055-acde48001122	MTG 071-072			AllenDend:CS201908210_149															
http://brain_data_standards/scratch_da1d9128-12c2-11eb-8055-acde48001122	MTG 071	Astro L1-6 FGFR3 SLC14A1		AllenDend:CS201908210_71															
http://brain_data_standards/scratch_da1d91b4-12c2-11eb-8055-acde48001122	MTG 072	Astro L1-2 FGFR3 GFAP		AllenDend:CS201908210_72															
http://brain_data_standards/scratch_da1d9240-12c2-11eb-8055-acde48001122	MTG 073	Oligo L1-6 OPALIN		AllenDend:CS201908210_73															
http://brain_data_standards/scratch_da1d92cc-12c2-11eb-8055-acde48001122	MTG 074	Endo L2-6 NOSTRIN		AllenDend:CS201908210_74															
http://brain_data_standards/scratch_da1d9358-12c2-11eb-8055-acde48001122	MTG 075	Micro L1-6 TYROBP		AllenDend:CS201908210_75															
