ID	Classification
ID	SC %
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_114	CL:0000881
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_115	CL:0000881
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_116	CL:0000881
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_28	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_29	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_30	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_31	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_32	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_33	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_34	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_35	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_36	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_37	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_38	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_39	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_40	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_41	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_42	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_43	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_44	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_45	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_46	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_47	CL:4023017
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_48	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_49	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_50	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_51	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_52	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_53	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_54	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_55	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_56	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_57	CL:4023018
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_70	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_71	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_72	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_73	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_74	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_75	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_76	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_77	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_78	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_79	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_80	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_81	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_82	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_83	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_84	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_85	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_86	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_87	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_88	CL:4023008
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_91	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_92	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_93	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_94	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_95	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_96	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_97	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_98	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_99	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_100	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_101	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_102	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_103	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_104	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_105	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_106	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_107	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_108	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_109	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_110	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_111	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_112	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_113	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_114	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_115	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_116	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_21	CL:4023007
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_22	CL:4023007
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_23	CL:4023007
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_24	CL:4023007
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_25	CL:4023007
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_30	CL:4023027
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_31	CL:4023027
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_32	CL:4023027
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_70	CL:4023045
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_71	CL:4023045
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_72	CL:4023044
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_73	CL:4023044
